no,구분,전공,본문
426,pre,교양,교수님께서 체계적이고 알기 쉽고 필요한 것만 꼭 집어서 가르쳐주셨다. 확실한 실력 향상이 느껴졌다.
427,pre,교양,교수님의 열정적이고 최선을 다하신 가르침에 진심으로 감사드립니가
428,pre,교양,교수님의 의견 수립이 빨라서 좋았다.
429,pre,교양,"교수님의 현장에서의 경험담이 제 삶에 동기부여를 주었으며, 이론도 중요하나 실무가 중요하다는 가르침에 동의하며 진심으로 귀한 가르침에 감사드립니다"
430,pre,교양,교수님이 너무 좋다 진짜 교양수업 중 추천하고 배운 의학상식이 의외로 많이 유용하다 ㅋㅋ
431,pre,교양,교수님이 너무 좋았습니다
432,pre,교양,교수님이 너무 좋았습니다 수업을 다체적으로 진행하시고 우리가 궁금해 했던 생활과학 지식과 유전자의 공학문제를 명쾌히 설명해주시고 간단하게 풀이해서 알려주셨습니다 요점도 정확히 집어주시고 수업 난이도와 시험 난이도도 굉장히 쉽게 설명해주셨습니다 최고로 좋았습니다!
433,pre,교양,교수님이 떠나셔서 말할게 없음
434,pre,교양,교수님이 아시는 교양의 지식은 뛰어나나 정리가 안되어 있어 학생들이 이해하기 어려움
435,pre,교양,교수님이 워낙 화이팅이 넘치시고 해피 바이러스를 가지신 분이라 수업이 지루하지 않고 즐거웠다.   영어로 말하는 것이 어색하고 말하기 시험을 보는 게 낯설었지만 이 수업을 통해 확실히 말하기 실력과 transcript하는 능력을 향상시킨 것 같다.
436,pre,교양,교수님이 재밌으세요
437,pre,교양,교수님이 좋으셨다
438,pre,교양,교수님이 진행하시는 게 대강당에서 강의 진행하는 거보다 훨씬 낫고 재밌어요 진심 교수님 강의만 오조오억개 듣고 싶네요 교수님 사랑합니다 이대로만 해주세요 &gt;ㅁ&lt;
439,pre,교양,교수님이 학생들을 위해 진짜 많은 정보를 알려주시고 정말 학교를 위해 뛰시는 교수님이다..!! ??
440,pre,교양,교수님최도
441,pre,교양,"교수로서, 교시로서 자격이 없는사람이다  수업준비 및 진행, 학생들에게 피드백, 정치적편향 등 대학에서 상상조차할수 없으며 있어선 안되는 수준의 사고방식이였다.  다음학기에는 이 교수의 수업은 절대 듣지 않을것이며 만약 학우중 누군가 듣는다하면 해킹해서리도 막아낼것이다"
442,pre,교양,교재등록기간이 지나 수업에 참여 자체를 할 수가 없었음
443,pre,교양,교재로 수업을 나가면 좋았을 것 같습니다.  프린트 깨알같은글씨로 조그맣게 주어 이걸로 공부를 제대로 할 수 없었습니다. 수업을 사정상 빠지게 되면 프린트를 보고 스스로 공부할 수도 없습니다. 이런 부분이 매우 감점요소이고 도망가는 애들 많은데 관리가 제대로 안되는것 같아 안타깝습니다. 자리가 분명 꽉 차는데 시험보는 날만 꽉 차고 수업시간에는 널널합니다. 출결관리 제대로 해야할 것 같습니다. 시험부분에 있어 인원이 많이 수강 하는만큼 감독하시는분을 더 늘리거나 인원을 나누어 시험을 보는 등 방법을 생각하셨으면 좋겠습니다.
444,pre,교양,교제가 너무 비쌉니다..
445,pre,교양,굿
446,pre,교양,그냥
447,pre,교양,글을 쓰면서 지난 시간을 돌이켜보면서 자존감을 높일 수 있었습니다 감사합니다.
448,pre,교양,"금학기에 영어특강과 시사토익을 모두 수강한 학생입니다!  어렸을때부터 영어를 꾸준히 해왔지만, 이번 강의를 들으며 저도 모르고 있던 기초적인 지식의 공백을 알게 되어 토플을 준비하는데에도 많은 도움을 얻었습니다. 또한 학생들을 진심으로 안타까워하시고, 잘 이해시키려 노력해주시는 교수님의 마음이 정말 잘 느껴지는 수업이었습니다. 감사합니다!"
449,pre,교양,"기독교 교리와 직/간접적인 연관이 있는 강의 내용이었지만, 종교인과 비종교인 모두 지나친 이질감 없이 강의를 들었다고 생각합니다. 이 강의를 통해 오히려 기독교에 관심이 생긴 학생들이 존재할지는 모르겠으나, 적어도 그들에게 기독교에 대한 오해를 풀어줄만한 계기가 됐을 것이라고 생각합니다."
450,pre,교양,기독교에대해 자세히 알수있는 좋은 계기가 되었습니다.
451,pre,교양,기독교의 이해 수업을 들으며 몰랐던 기독교에 대해  학문적으로 알게 되어 제 자신이 다행이라 생각됩니다.  두려움으로부터의 자유 교재 책이 마음에 와 닿았습니다.
452,pre,교양,기회가 된다면 다음에 또 봬요
453,pre,교양,꼭 필요한 지식을 얻을 수 있었다.
454,pre,교양,나 자신을 돌아볼 수 있는 시간이었습니다
455,pre,교양,나를 이해하고 알아 갈 수 있는 수업이었습니다.
456,pre,교양,나의 몸에 대해서 알아보는 시간이 되어서 유익했다.
457,pre,교양,"너무 1,2학년 중심이고 미숙한 부분이 많다 수업에 대한 집중이떨어지고 흥미가 없음"
458,pre,교양,"너무 과제 조사의 범위가 넓어서 어려움이 있었어서, 범위를 줄여주시고 하면, 좀더 지치지 않았을 것이라는 생각을 해봅니다."
459,pre,교양,노트북이 없는사람에겐 힘든 수업.
460,pre,교양,녹음을 통해 말하기가 얼마나 현실적으로 문제가 있는지 알았다 암기를 통해 말하기 구조의 도움을 얻을 수 있었다
461,pre,교양,"다 좋았는데, 사람이 너무 많아서 교수님께서 힘드셨을 것 같습니다."
462,pre,교양,다른 분야에 도전했다 후회 없다 책 보며 조금 더 연습을 했더라면 아쉬움이 있다 감사드린다
463,pre,교양,"다소 어려울 수도 있던 내용을 쉽게 설명해 주시는 것이 인상적이었고, 항상 열정적으로 가르쳐 주신 덕분에 힘내서 연속으로 강의를 들을 수 있었어요!! 덕분에 열심히 수업들을 수 잇었습니다.! 감사합니다 교수님 좋은 기억과 좋은 수업으로 남아있을 수 있도록 해 주셔서, 감사합니다."
464,pre,교양,다시는 듣지 않을 수업 성적 주눈 방법도 모르겠고..
465,pre,교양,다시는 이 교수님이 본교에서 수업을 하지 않으셨으면 좋겠습니다.
466,pre,교양,다양한 정보와 수준 높은 강의를 하여 주셨습니다 신학적으로 과학적으로 많은 도움이 되었습니다
467,pre,교양,다음에 또 봬요
468,pre,교양,다음은 고급자를 위한 강의도 열어주세요 강의가 전체적으로 너무 쉬웠습니다
469,pre,교양,다음학기에 전공과목과 시간이 겹치지 않는다면 교수님의 강의를 필히 수강하고 싶다는 생각이 들 정도로 너무 좋았습니다.
470,pre,교양,답시키고 틀리면 사람들  앞에서 쪽주는건 좀 안좋아보이더라구요 때리는것도 아닌거 같네요 요즘시대에
471,pre,교양,당일날 하시는 ppt 자료를 구글 클래스룸에 올려주시면 학생들이 더 원활하게 이해했을 거 같아요 피피티 화면 유익한 내용 일일히 사진 찍는 게 좀 번거로웠거든요 그거 빼면 괜찮았어요 이대로만 해주세요
472,pre,교양,대학에 잘 적응 할 수 있도록 도와주고 전공에 대한 도움을 주고자 노력을 많이 하신다.
473,pre,교양,더욱 깊은 신앙심을 가지게 되었습니다. 감사합니다 교수님..!!
474,pre,교양,동일한 수업의 다른 교수님들 수업 보다 시험이 상대적으로 어려운 부분이 있었음
475,pre,교양,동일한 수업의 다른 교수님들 수업과 달리 유난히 과제가 많은 느낌이었음.
476,pre,교양,되게 즐거웠습니다
477,pre,교양,뒷 자리 학생들은 스크린이 잘 안보이는 관계로 표나 내용들은 따로 확대해주시거나 말로 자세하게 설명해주시면 좋을 것 같아요.
478,pre,교양,따로 돈주고 배울만한 수업은 아닌거 같습니다 이론도 하나도 안알려주시고
479,pre,교양,마지막 수업 후에도 썼지만 학생들과 소통하시는 수업 방식이 좋았고 직접 만드신 교재도 좋았습니다 :)
480,pre,교양,마지막 평가는 개강전에 미리 공지하세요 그리고 그냥 읽기만 하는 강의영상 뭔의밉니까 설명해줘야지
481,pre,교양,매우 성실하게 강의준비로 최선을 다하시는 훌륭하신 교수님이십니다.
482,pre,교양,매우 어렵고 시험은 더 어렵다. 한두명 인물만 진행했으면
483,pre,교양,모든 수업에 출석했지만 출석체크를 안해주셨다. 오늘까지도 안되어있다.  교수님별로 과제가 다르게 주어지는걸로 아는데 우리과의 과제는 힘들었다.   갓 입학한 학생들이 아는 5년 이상 경력의  간호사를 섭외하여 인터뷰를 하기는 어렵지 않을까. 당시엔 정말 막막했다.  그리고 과제들을 메일로 보냈는데 아직도 읽지않음으로 떠있다.   어떤 기준으로 과제물을 평가하시는건지 잘 모르겠다. 알려주시지 않으셨다. 메일을 안보시고 어떻게 점수를 주시는걸까...
484,pre,교양,"못하는 애들한테도 신경 써주고,박수를 쳐준다. /과제가 조금 많다"
485,pre,교양,무교인 사람들도 생각해서 수업방식 이해하기 쉽게 해줬으면 좋겠다
486,pre,교양,문법을 모른다는 사실을 알게 됬다 살만 있는 몸이었다 뼈대가 생긴 거 같았다 이제 더 이상 토익 강의가 없다 영어특강을 들었다 40점 정도 토익 점수가 올랐다 예상보단 적었으나 이정도도 잘 한 거 같았다 감사합니다
487,pre,교양,"문법의 정리 파일을 공개해주시거나, A4용지로 나눠주셨으면 좋겠습니다."
488,pre,교양,뮤지컬곡도헸으면좋겠어요
489,pre,교양,"방향성을 잡아주는 것과 목표설정을 하는데 조금 더 확신을 가질 수 있게 해주고 ,친목을 다지게 해줄 수 있는 점이 좋았다."
490,pre,교양,배운게 별로 없다. 수업 1시간전 휴강도 있었다. 보강은 없었다.  배운건 와썹! 뿐. 스피킹 테스트의 비율도 너무 높다. 굳이3번 할 필요가 있는지 모르겠다.
491,pre,교양,복식의 기원뿐만 아니라 유럽의 의복의 발전과 역사문화를 배우게되었다
492,pre,교양,본인만의 방식으로 강의를 풀어낸것은 좋으나 그 내용이 심히 단순하고 조잡하다. 교수로서의 역량이 의심됨 최악의 강의였음
493,pre,교양,부족한게 없습니다
494,pre,교양,빵 만드는 수업이 더 생겼으면 좋겠어요 :)
495,pre,교양,"사실 졸업 필수 과목 중 하나라 듣게 되었는데, 분반이 된 것이 다행일 만큼 교수님께 배운 것이 좋았던 강의입니다.! 딱딱하게 느껴지는 내용을 쉽게 받아들일 수 있도록 노력해주시는 것이 정말 잘 느껴졌고, 원치 않는 학생을 강제로 시키고 틀릴 경우 무안을 주는 김교수님과는 달리 학생들이 이해가 될 때까지 다양한 예시와 설명으로 수업을 진행해주셔서 좋았습니다."
496,pre,교양,사회과학에 흥미가 있었는데 수업을 듣고 흥미를 잃었습니다.   학생들이 공부를 안한닥고 욕하시던데 왜 수업때 그렇게 많은 학생이 자는지 자문해 보시기 바랍니다.
497,pre,교양,색채심리와 현대생활이라는 강의명 중에서 심리적인 부분이 내가 예상했던 공부내용이 아니여서 아쉬웠다. 다소 과학적 내용이 많아 공부할 때 어려움이 있었다.
498,pre,교양,색채의 쓰임과 활용에 대해 알 수 있었습니다. 온라인 강의가 보다 다채로워졌으면 좋겠습니다.
499,pre,교양,세세하게 다 알려주시고 이해하기 쉽게 알려주시는 것 같다.
500,pre,교양,셋이서 대화하면서 그 안에서 점수를 매기는 방식은 한 명이 독식하기에 아주 쉬운 방식입니다. 밸런스를 맞출 수 있는 기준을 추가해 주시면 좋겠습니다.
501,pre,교양,"송경애 교수님 감사합니다!!  맨 먼저 많은 수의 학생들 이름을 기억하기 쉽지 않으실텐데도 불구하고 언제나 한명 한명의 이름을 불러주시는 그 세심한 마음에 감사드립니다.  저는 중,고등학교 때 중국어 시간이 억지로 시키고 외우게 하고 강압적이라 너무 힘들었습니다.  그러나 교수님께서는 모두에게 관심을 가져주시고 저의 공부 의욕을 북돋아주셨습니다.    아직 저에게 중국어는 많이 어렵지만 교수님 덕분에 중국어에 호감이 생기게 되었습니다.    교수님 감사합니다!"
502,pre,전공,교수님의 한국어 실력 향상.
503,pre,전공,"수업방식과 수업내용이 좋았고, 도움되었습니다.  감사합니다."
504,pre,전공,음성학이 전공필수라 좋았습니다. 영어과에 앞으로 통사론 음성학같은 강의가 더 많아졌으면 좋겠습니다.
505,pre,전공,이번학기 감사했습니다. 최선을 다해서 후회없는 학기였습니다!!
506,pre,전공,인터넷 강의는 이제 그만.
507,pre,전공,재미있다.  회화 중심이다.  다만 송경애 교수님이 한자를 헷갈리지 않았으면 좋겠다.
508,pre,전공,학생들과 교류가 있었으면
509,pre,전공,간호학과 수업 중에서 최고의 수업이었다고 생각합니다. 아쉬운 점이 있다면 더 많은 내용을 듣고싶은데 더블강의라서 시간이 모자랐던 것 같습니다. 수업 자료도 좋고 교수님 강의 내용도 여전히 기억날 정도로 너무 유익한 수업이었습니다!
510,pre,전공,강의 자료를 조금 더 보기 쉽게 만들어 주셨으면 좋겠습니다.
511,pre,전공,교수님께서 임상에서 꼭 필요한 최신 자료들을 모아 저희한테 가르쳐 주시고 1기로 졸업하는 저희 학번을 위해서 임상에 나갈 때 무시 당하지 않도록 간호사가 꼭 알아둬야하는 지식들을 가르쳐주셔서 너무 좋았고 수업 방식 또한 다른 교수님과는 다르게 시험 치고 나서도 오랫동안 기억에 남아서 정말 좋은 강의지만 쪽지시험의 범위가 너무 많아서 힘들었습니다ㅠㅠ 쪽지시험 범위도 많고 간격도 짧아서 다른 과목을 같이 공부하기엔 버거웠습니다ㅠㅠ 쪽지시험만 개선이 된다면 너무너무 좋은 강의가 될 것 같습니다!
512,pre,전공,교수님도 친절하시고 참 좋은데. 가끔 진도 빨리 빼거나 할때는 학생들이 제대로 쫓아오는지 상관없이 너무 빠른 속도로 읽으면서 여기저기 읽으셔서 솔직히 뭐가 중요한지 어디를 얘기하신건지 모를 때도 있었고.. 중간고사 직전에 이상행동 중요한 거 찝어주실 때도 너무 빠르게 막 얘기하셔서 거의 전혀 못들었다.. 그 범이 아쉬웠지만. 교수님은 정잘 친절하시고 성실하신 거 같음. 하지만 음.. 그냥 있는 그대로 읽으셔서 그런지 뭔가 집중과 이해가 잘 안될 때가 있다.
513,pre,전공,그 전에 컨퍼런스 먼저 한 조가 다음조들에게 쪽지시험 답을 다 알려주고 의학용어 시험내용도 다 알려주고 서로 그러던데. 매주 시험문제가 바뀌면 어떨까 하는 생각이 들었고. 쪽지시험 채점은 애들에게 맡겨서는 안될거 같다. 서로 시험지 바꿔서 채점하라고 하니까  틀린 것도 서로 맞게 고쳐 채점하자는 얘기도 들렸다.
514,pre,전공,다른 교수님들과는 과제 양이 차이가 나서 힘들었지만 실습하면서 보고 배운 것을 정리할 수 있어서 좋았다.
515,pre,전공,모든 실습 중에서 가장 배울 점이 많은 실습이었다고 생각하고 인계 노트를 만듦으로서 인계가 지속적으로 가능했던 점이 가장 좋았습니다. 개선됐으면 하는 점은 사전 지식 시험 범위가 너무 광범위 하여 준비가 제대로 되지 않았던 점이었습니다. 범위를 제한적으로 설정해주셨으면 좋겠습니다.
516,pre,전공,수업 자료가 가독성이 떨어집니다. 수업자료를 조금 더 읽기 쉽게 만들어 주시거나 PDF가 아닌 파워포인트로 올려 주셨으면 좋겠습니다. 또 시험 주에 수업을 하고 며칠 뒤 바로 시험을 본 점이 아쉽습니다. 충분히 익히지 못했는데 바로 시험을 봐버려서 시험을 위한 공부가 되어버린 것 같아 이 점이 개선되었으면 좋겠습니다. 또 쪽지시험 범위가 넓고 4번에 나누어 보는 것 보다 차라리 매 주 시험을 보는 것이 공부에 도움이 될 것 같습니다.
517,pre,전공,수업 진행 속도가 빠를 때는 너무 빠른 것 같습니다. 수업을 들으면서 밑줄을 치는데 가끔 너무 빨라져서 따라잡기 힘든 때가 있었습니다. 과제는 배운 내용을 실제로 적용해 볼 수 있었던 점이 매우 좋았습니다.
518,pre,전공,실습지가 거주지와 가깝게 배치해주시거나 같은 지역에 사는 학생들끼리 배치해주시면 집을 구할 때 더 편할 것 같아서  개선되었으면 좋겠습니다.
519,pre,전공,실습지가 학생의 거주지와 가깝게 배치되거나 그럴수없다면 같은 지역에 사는 학생들끼리 조를 해서 같이 집을 구할 수 있도록 개선되었으면 좋겠습니다!ㅜ
520,pre,전공,실습지가 학생의 거주지와 가깝게 배치되거나 그럴수없다면 같은 지역에 사는 학생들끼리 조를 해서 같이 집을 구할 수 있도록 개선되었으면 좋겠습니다!ㅜ
521,pre,전공,실습지침서를 전에 실습했던 조한테 받게 하는 것보다 과대를 통해 단톡방에 올렸었으면 더 좋았을거 같다.
522,pre,전공,아동실습 시 환아들은 거의 감기나 폐렴으로 입원이던데 그런 점 미리 알려주시고 마스크 끼고 실습하라고 알려주셨으면 좋았을 거 같기도하다.
523,pre,전공,인계 노트가 꼭 필요하다고 생각되는 실습과목이었습니다. 인계가 제대로 되지 않아서 병원과 학생간의 마찰이 예상됩니다. 인계노트 제발좀 만들어주세요. 또 컨퍼런스 간 간격을 넓혔으면 좋겠습니다. 너무 가까운 시일 내에 진행하니 준비 기간이 짧아 제대로 공부하지 못한 기분이라 아쉽습니다.
524,pre,전공,중간고사에서 몇 가지 안 배운 내용이 나온 거 같긴 했다.
525,pre,전공,천천히 수업진행해주셨으면 좋겠습니다.  너무 빨라서 필기나 이해하는데 어려움이 있었어서 개선되었으면 좋겠습니다!
526,pre,전공,컨퍼런스에서 가장 배울 점이 많았던 수업이었습니다. 무엇을 알고 무엇을 모르고 있는지 정확히 체크가 가능한 시간이었던 점이 가장 좋았습니다.
527,pre,전공,ㅍ
528,pre,전공,한 가지 크게 아쉬운 점은. 그 실기 시험보고 유치도뇨관 이론적근거 쪽지시험본다는 걸 왜 모두에게 말안해주고 더와이즈황병원에서 먼저 학교에 도착한 애들한테만 알려줬는가이다. 우리는 유광사 실습하고 학교에 갔더니 이미 실기 시험중이던데 나는 실기 시험 끝나고 가만히 있다가 이론적근거 쪽지시험본다고 해서 놀랐는데 다른아이들은 이미 교수님이 아까 이론적근거 시험본다고 말해줬었다고 해서 공부했다고 해서 좀 그랬다. 솔직히 이론적근거 시험보는 거 똑같이 알았으면 한번읽으면 다 맞게 쓸 수 있었을텐데 말이다..
529,pre,전공,형광펜으로 밑줄긑기만 계속 해서 수업시간이 좀 아깝다는 생각이 조금 들었습니다. 수업 시간에 내용에 대한 부가적인 설명들을 좀 더 해주셨으면 좋겠습니다!
530,pre,전공,확실한 것은 중간고사에서 폐활량검사 관련 부분 주관식에서 fev1그거 70% 그건 시험범위가 아니었다.. 그 내용은 프린트와 책 모두 copd 부분에 있었다.
531,pre,전공,2학기에 시간표 짤때는 A반과 B반이 번갈아 가면서 수업을 듣도록 해주세요
532,pre,전공,교수님 과제 열심히할게요 엉엉
533,pre,전공,교수님께서 직접 겪으신 살아있는 지식을 배울 수 있어서 좋았어요
534,pre,전공,국제에 관해서 자세히 몰라서 처음에는 무슨소리인지 자세히 몰랐는데 교수님께서 저희 수준에 맞추어 설명해주셔서 귀에 쏙쏙 들어오고 집중력이 향상되었습니다.  교수님 덕분에 국제에 관해 관심을 가지게 되었습니다 감사합니다. 앞으로도 후배들을 위해 힘써주시길 바랍니다.
535,pre,전공,그룹활동을 할 때 시간이 충분히 있었으면 좋겠습니다
536,pre,전공,기말고사 시험장소를 본관 채플실에서 봐서 매우 불편했습니다. 학생들의 의견을 반영해주셨으면 좋겠습니다.
537,pre,전공,기말시험을 채플실에서 실시해서 너무 불편했습니다. 게다가 시험시작 직전에 장소변경이 공지되어서 시험시간이 늦어진 점도 다음 수업시간까지의 여유가 없어서 힘들었습니다. 시험은 강의실에서 실시되었으면 좋겠습니다.
538,pre,전공,기본간호학실습이랑 건강사정실습 둘 다 항상 B반은 늦게해서 이틀 다 공강시간을 갖는다는게 너무 아쉬웠어요 실습 두개 중에 하나는 B반이 먼저하거나 해서 A반 B반이 공평하게 공강시간이 있었으면 좋았을 것 같아요 실습 시험날에도 A반이 늦게 끝나면 B반이 항상 그 때까지 기다려야 하니까 힘들었어요
539,pre,전공,기본간호학에 제일 관심이 많았는데 그만큼 성적도 높았고 교수님이 친절하게 알려주셔서 감사했다.
540,pre,전공,기준점을 자세히 알려주시길 바랍니다.
541,pre,전공,"발표자료가 바로 올라오지 않아서 불편했습니다.  저번 한 강의 중 많은 학생들이 발표준비와 발표태도가 좋지 못했던 수업이 있었습니다. 다수가 성실치 못했던건 많은 학생들의 잘못이었지만 그 때 강의자께서 한 학생의 발표태도를 보고 다수의 앞에서 지적을 했었습니다. 지적을 받은 개인이 어떠한 정신적 증상을 앓고 있는지도 모르는 상황에서 그 지적은 개인에게 올 피해를 생각하지 않고 말씀하신 것 같고 정신건강 교육학자의 모습이 아닌 것 같아 실망을 많이 느꼈습니다. 다수의 잘못은 다수에게 개인의 조언, 충고는 개인에게 부탁드리겠습니다."
542,pre,전공,병원에서의 실무를 할 때의 유의점 등 책으로만 배울 수 없는 지식을 알 수 있어서 좋아요
543,pre,전공,분명하고 명료하게 알려주셔서 좋아요
544,pre,전공,"사진이 유인물에 없어서 공부할때 조금 힘들었습니다. 그리고 교재에도 없는 사진도 많았어요. 용어만 있고 사진이 없어서 구글에 검색을 해 봐도 안나오는 자료들도 좀 있었습니다. 교재에 사진이 어디에 있는지, 자료를 어디서 찾을 수 있는지 등 알려주세요"
545,pre,전공,설명을 귀에 쏙쏙 들어오게 잘 해주셔서 좋아요
546,pre,전공,소량의 사진은 첨부해주셨으면 좋겠습니다. 책이랑 찾으면서 수업하면 집중이안돼요.
547,pre,전공,수업 너무 좋았어요 감사합니다!  한 학기동안 고생하셨습니다!
548,pre,전공,수업시간에 마이크 써주세요  이 수업시간을 통해 전공 지식을 쌓는데 많이 도움이 되었습니다
549,pre,전공,수업할때는 재미있어서 따라갔지만 복습할때 수업들었을 때보다 못 미쳐서 죄송했다.
550,pre,전공,쉬는시간을 주셨으면 좋겠습니다
551,pre,전공,쉬는시간을 지켜주세요
552,pre,전공,쉬는시간이 없어서 강의시간에 조금 힘들었습니다.
553,pre,전공,시험 시간을 정확하게 정해주셨으면 좋겠습니다
554,pre,전공,"시험범위가너무 넓어서 힘들었습니다..인간성장발달과목 과 건강사정 과목도요.,"
555,pre,전공,시험에 서술형 비율70 객관식30 은 너무 고통스럽습니다.. 50:50 해주세여
556,pre,전공,실무에 기반이되는 기본술기를 실습을 통해 직접 배울 수 있어서 좋았고 직접 앞에서 시법을 볼 수 있어서 좋았습니다.  이론과 실무에 차이가 조금 있고 저희가 이론을 중점적으로 먼저 배워야 하는 상황이지만 실제실무에 대한 이야기를 좀 더 듣고싶습니다.  또한 시험의 채점기준과 그에대한 결과를 정확히 알려주시면 좋겠습니다.  실습시간 정말 재밌고 유익한 시간이었습니다 한학기 수고하셨습니다!!
557,pre,전공,실습 시험에서 우리가 배운 용어와 다른 용어로 시험이 나와서 당황스러웠습니다
558,pre,전공,실습하는데 설명이 충분해서 잘 따라갈 수 있었고 의학용어가 있었긴 했지만 아예 의학용어 과목이 만들어졌으면 좋겠다. 매주 시험보는 것도 괜찮은 것 같다.
559,pre,전공,"알지못했었던 새로운 지식들을 배울 수 있었고, 도움이 많이 되었습니다 감사합니다."
560,pre,전공,앞반의 시험시간 지체로 뒷반의 시험 시작시간이 지체되어 늦게 끝나는 점이 개선되었으면 좋겠습니다.
561,pre,전공,유인물에 사진이 없이 글만 있어서 찾기 힘들었습니다. 책으로 수업해주세요
562,pre,전공,자료물들은 미리 올려주십시오
563,pre,전공,조별과제 줄여주세요
564,pre,전공,조별과제할 때 번호순 하지 말아주세요.
565,pre,전공,좀 더 실습위주로 수업 했으면 좋을것 같습니다
566,pre,전공,중간고사나 기말고사 날짜를 정할때 교수님께서 날짜를 정해주셨으면 좋겠습니다!
567,pre,전공,책이 필수였던수업인데 선택사항이라고 처음에 공지해주셔서 수업중 에로사항이 많았다
568,pre,전공,처음배우는 술기인데 교수님께서 하나하나 자세히 알려주셔서 좋았습니다
569,pre,전공,처음에는 무서운교수님이라고 생각했지만   따듯한교수님이란걸 알았습니다
570,pre,전공,컬러링북 싫어요 부교재 자체를 없애주세요..공부가 아니라 노동이잖아요
571,pre,전공,토의 수업을 정말 재미있게 따라갔는데 그에 비해 시험을 못봐서 죄송하다.........
572,pre,전공,학생들에게 수업 내용에 대해서 직접 문제를 내게 하고 그 문제를 서로 풀게 하는 형태의 수업이 공부하는데에 굉장히 많은 도움이 됩니다. 가만히 앉아서 수업을 듣는 방식이 아닌 학생들이 적극적으로 참여하게 할 수 있는 수업을 하셔서 굉장히 만족스러운 수업이었습니다.
573,pre,전공,"학생들의 수준에 맞춰서 효과적으로 강의해주셨고, 도움이 많이 되었습니다. 감사합니다."
574,pre,전공,한 학기 동안 고생하셨습니다 감사합니다!
575,pre,전공,항상 열정적으로 수업해주셔서 감사합니다
576,pre,전공,교수님께서수업잘해주셨는데 학생들이너무떠들어서 방해되었습니다...
577,pre,전공,수업 잘 들었습니다
578,pre,전공,자격증따기 힘들어요
579,pre,전공,퀴즈를 하니까 예습하는 기분이라 좋았습니다
580,pre,전공,PPT가 너무 과하게 많고 시험준비가 너무 부담스럽다.
581,pre,전공,교수님 말이 너무 빠릅니다ㅠㅠ
582,pre,전공,교수님께서 수업을 진행하시는데있어서 학생들을 매우 배려하시며 이해를 잘 할 수 있도록 수업을 진행해주셨으며 또한 실무에대한 이야기를 많이 해두셨고 학생들에게 힘을주시는것 같아 매우 좋았습니다 감사합니다
583,pre,전공,교양법학수업을 선수과목으로제정하고 민법과상법의비율을 3:7정도로올려주셨으면합니다...
584,pre,전공,너무 어려웠다 난이도가 조금 낮았으면 좋겠다.
585,pre,전공,"본 수업내용은 아쉽게도 학생들의 기본교양지식에 비해 난이도가 너무 어렵고, 범위량이 지나치게 많아 많은 학생들이 부담을 느끼는 현상이 있었습니다.  또한 소비자행동론 이라는 과목 특성잡게, 팀과제나, 조별 과제 등 적극적인 활동이 더욱 필요할 것 같습니다."
586,pre,전공,수업에대한 내용을 잘 이해할 수 있도록 진행해주심에 감사합니다
587,pre,전공,쉬운 설명 감사합니다~!!
588,pre,전공,앞에 앉고 싶은데 자리 지정해주셔서 뒤에 앉았네요 ㅎㅎ 수업시간에 화장실 가는것도 안돼고 너무 힘드네여
589,pre,전공,어려운 과목이 될 수 있었지만 교수님께서 수업을 매우 잘 진행하셨기에 수업에대한 이해가 잘 되었고 과목괴 현 사회에있는 이슈들을 접목시켜 설명해주심이 너무 좋았습니다 감사합니다
590,pre,전공,어려운 과목임에도 불구하고 정말 쉽고 재미있게 잘 가르쳐주십니다.
591,pre,전공,재무관리라는 수업은 정말 어려운 과목입니다. 경영학 과목 중에서도 가장 철학적이고 심오한 과목이며 누구나 쉽게 접근할 수 없는 과목입니다. 그러나 이런 어려운 과목을 우리 학생들에게 이해시키고자 열심히 노력하시는 교수님께 진심으로 감사의 말씀을 올립니다.  특히 핸드폰사용을 자제시켜 수업에 집중을 하도록 유도하신점에 있어 매우 효과적이라고 생각합니다. 또한 과제를 내주셔서 반복학습을시켜 자기이해를 시켜 학생들이 과목자체를 &apos;외우는 것&apos;이 아닌 &apos;원리를 이해&apos; 시켜주신 점에 감사드립니다. 한 학기동안 고생 많으셨습니다.
592,pre,전공,중간기말공부량 시험범위가 너무적었습니다....
593,pre,전공,최승은 교수님 수업 너무 유익하게 잘 들었습니다 두가지 과목 투자론과 재무관리 들었는데 어려운 과목을 한명한명 설명해주시면서 열정적으로 가르쳐주셔서 잘배웠던거 같습니다 감사합니다
594,pre,전공,항상 학생들을 먼저 생각해주시는 교수님이 또 계실까요 법에 대해서 아무것도 몰랐는데 조금이나마 개념을 배워가는거 같아 감사합니다. 사례 중심으로 설명을 해주셔서 따라가는데 어렵지 않았습니다. 시험문제도 시험전에 찝어주셔서 스트레스도 많이 받지 않았습니다. 다음에 교수님과 치맥하는 날을 기대하면서...감사했습니다.
